tipo,numero,titulo,secao,estrofe,texto,arquivo
hino,178,A Palavra preciosa,estrofe,3,Para sempre permanece a Palavra divinal; Nossas almas fortalece e protegenos do mal.,docs/ccb-hinario-5-do/do/musescore/xml/hino-178.mscx
hino,178,A Palavra preciosa,coro,,"A Palavra preciosa Do fiel, vivente Deus, É Espada poderosa, Que defende os santos",docs/ccb-hinario-5-do/do/musescore/xml/hino-178.mscx
hino,179,Trabalhai! Trabalhai!,estrofe,1,"Trabalhemos, irmãos, somos servos de Deus, As searas de Cristo já brancas estão; Recebendo as forças que vêm lá dos céus, Cumpriremos, alegres, a nossa missão.",docs/ccb-hinario-5-do/do/musescore/xml/hino-179.mscx
hino,179,Trabalhai! Trabalhai!,estrofe,2,"Trabalhemos, irmãos, com afinco e amor, Anunciando aos famintos que o Pão celestial É Jesus, a Palavra de vida e vigor; Ela nos alimenta e nos livra do mal.",docs/ccb-hinario-5-do/do/musescore/xml/hino-179.mscx
hino,179,Trabalhai! Trabalhai!,estrofe,3,"Trabalhemos, irmãos, pois ungiunos o Pai Para a graça de Cristo, por fé, propagar; Os talentos, o Mestre nos diz: ""Granjeai"". Sobre o muito, no céu, nos irá colocar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-179.mscx
hino,179,Trabalhai! Trabalhai!,coro,,"Trabalhai, trabalhai, Vigiai, vigiai E orai sem cessar, Pois breve o Mestre vai voltar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-179.mscx
hino,180,Jesus é a Luz que veio ao mundo...,estrofe,1,"Jesus é a Luz que veio ao mundo para me resgatar; Em trevas eu jamais andarei, pois Ele me faz brilhar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-180.mscx
hino,180,Jesus é a Luz que veio ao mundo...,estrofe,2,"Jesus, com Sua luz divinal, mostroume a salvaçao; A minha mente esclareceu; livroume da perdição.",docs/ccb-hinario-5-do/do/musescore/xml/hino-180.mscx
hino,180,Jesus é a Luz que veio ao mundo...,estrofe,3,"Jesus, vem com a Tua gloriosa luz para me guiar No Evangelho santo, até findar meu peregrinar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-180.mscx
hino,180,Jesus é a Luz que veio ao mundo...,coro,,"Se eu andar nessa Luz, Um dia eu verei o fiel, bom Jesus; Na casa de Deus Pai, Eu contemplarei todo o esplen -dor Do meu Reden-tor. Que alegria! Lá não há tristeza e nem mal, Só o amor perenal",docs/ccb-hinario-5-do/do/musescore/xml/hino-180.mscx
hino,181,"Só em Cristo, só em Cristo",estrofe,1,"Vós, que procurais a água que dâ vida, Vinde a Cristo, Fonte do perdão; Toda a alma contristada e abatida, Em Jesus encontrará a salvação.",docs/ccb-hinario-5-do/do/musescore/xml/hino-181.mscx
hino,181,"Só em Cristo, só em Cristo",estrofe,2,"Nesta Fonte tão preciosa, inesgotável, Refrigério todos acharão; Recorrendo a Jesus, Pastor amável, Os sedentos não mais sede sentirão.",docs/ccb-hinario-5-do/do/musescore/xml/hino-181.mscx
hino,181,"Só em Cristo, só em Cristo",estrofe,3,"Cristo é o Manancial que purifica E enobrece todo o coração; Seu Espirito encoraja, santifica E ensina a viver em retidão.",docs/ccb-hinario-5-do/do/musescore/xml/hino-181.mscx
hino,181,"Só em Cristo, só em Cristo",coro,,"Só em Cristo, só em Cristo, Água viva todos podem encontrar; Só em Cristo, só em Cristo, Vós, sedentes, podereis vos saciar.",docs/ccb-hinario-5-do/do/musescore/xml/hino-181.mscx
